ablation,seed,train_episodes,eval_episodes,window_len,final_f1,rghr_f1,rghr_auc,role_f1_clustering,sof,fof,of,detection_f1,convergence_step,tp,fp,fn,elapsed_sec,rolling_f1_train_mean_last_window
full,7,4000,1500,20,0.16,0.16,0.9872012045925089,0.45666666666666667,0.8263612138445423,0.9001572688088794,0.8632592413267108,0.5471457231442641,0,1500,2483,0,44.00840735435486,0.5735325010825478
no_rag,7,4000,1500,20,0.0,0.0,0.5306480958654871,0.5233333333333333,0.8430484559210445,0.9054573712758088,0.8742529135984267,0.5471457231442641,0,1500,2483,0,39.97468137741089,0.5735325010825478
no_grg,7,4000,1500,20,0.16,0.16,0.9872012045925089,0.39666666666666667,0.8300120112641665,0.9001920261925247,0.8651020187283456,0.5471457231442641,0,1500,2483,0,42.82694911956787,0.5735325010825478
no_rrg,7,4000,1500,20,0.16,0.16,0.9872012045925089,0.4866666666666667,0.8243668532261987,0.9128660835750388,0.8686164684006188,0.5471457231442641,0,1500,2483,0,44.03212547302246,0.5735325010825478
no_per,7,4000,1500,20,0.16,0.16,0.9872012045925089,0.5,0.8217548347219948,0.9150445486555444,0.8683996916887696,0.5471457231442641,0,1500,2483,0,40.598827838897705,0.5735325010825478
