ablation,seed,train_episodes,eval_episodes,window_len,final_f1,rghr_f1,rghr_auc,role_f1_clustering,sof,fof,of,detection_f1,convergence_step,tp,fp,fn,elapsed_sec,rolling_f1_train_mean_last_window
full,7,4000,1500,20,0.0,0.0,0.07622811970638058,0.44,0.8788075735434421,0.900070780984527,0.8894391772639845,0.5471457231442641,0,1500,2483,0,42.685023069381714,0.5735325010825478
no_rag,7,4000,1500,20,0.0,0.0,0.07622811970638058,0.44,0.8788075735434421,0.900070780984527,0.8894391772639845,0.5471457231442641,0,1500,2483,0,42.72659754753113,0.5735325010825478
no_grg,7,4000,1500,20,0.0,0.0,0.05452035886818495,0.45,0.8830509469984744,0.9045792941548939,0.8938151205766842,0.5471457231442641,0,1500,2483,0,40.013946533203125,0.5735325010825478
no_rrg,7,4000,1500,20,0.0,0.0,0.07258924650228998,0.49333333333333335,0.8721438124641846,0.9134450589535423,0.8927944357088635,0.5471457231442641,0,1500,2483,0,43.332364320755005,0.5735325010825478
no_per,7,4000,1500,20,0.0,0.0,0.09065813413639501,0.49,0.866619143745682,0.9144611898257407,0.8905401667857114,0.5471457231442641,0,1500,2483,0,43.05506086349487,0.5735325010825478
