ablation,seed,train_episodes,eval_episodes,window_len,final_f1,rghr_f1,rghr_auc,role_f1_clustering,sof,fof,of,detection_f1,convergence_step,tp,fp,fn,elapsed_sec,rolling_f1_train_mean_last_window
full,7,4000,1500,20,0.45666666666666667,0.16,0.9872012045925089,0.45666666666666667,0.8263612138445423,0.9001572688088794,0.8632592413267108,0.5471457231442641,0,1500,2483,0,43.44629526138306,0.5735325010825478
full,17,4000,1500,20,0.4533333333333333,0.17721518987341772,0.9826388888888888,0.4533333333333333,0.845787302811112,0.9164867331778753,0.8811370179944937,0.5584512285927029,5,1500,2372,0,40.80866503715515,0.5162090135495088
full,27,4000,1500,20,0.54,0.25,0.9856521739130435,0.54,0.8265573603369447,0.9164173954712407,0.8714873779040927,0.5376344086021505,0,1500,2580,0,43.45270776748657,0.5407964751637913
no_rag,7,4000,1500,20,0.5233333333333333,0.0,0.5306480958654871,0.5233333333333333,0.8430484559210445,0.9054573712758088,0.8742529135984267,0.5471457231442641,0,1500,2483,0,42.66408944129944,0.5735325010825478
no_rag,17,4000,1500,20,0.44666666666666666,0.0,0.4879995126705653,0.44666666666666666,0.8633775618554604,0.9166367136119675,0.890007137733714,0.5584512285927029,5,1500,2372,0,40.67126989364624,0.5162090135495088
no_rag,27,4000,1500,20,0.5866666666666667,0.0,0.5214906832298136,0.5866666666666667,0.8413886144564066,0.9169163679941394,0.8791524912252731,0.5376344086021505,0,1500,2580,0,42.729063272476196,0.5407964751637913
no_grg,7,4000,1500,20,0.39666666666666667,0.16,0.9872012045925089,0.39666666666666667,0.8300120112641665,0.9001920261925247,0.8651020187283456,0.5471457231442641,0,1500,2483,0,40.24513125419617,0.5735325010825478
no_grg,17,4000,1500,20,0.4866666666666667,0.17721518987341772,0.9826388888888888,0.4866666666666667,0.8393719449322113,0.9199052130719676,0.8796385790020895,0.5584512285927029,5,1500,2372,0,43.21470618247986,0.5162090135495088
no_grg,27,4000,1500,20,0.51,0.25,0.9856521739130435,0.51,0.8234528623620835,0.9169883489986799,0.8702206056803816,0.5376344086021505,0,1500,2580,0,43.234097957611084,0.5407964751637913
no_rrg,7,4000,1500,20,0.4866666666666667,0.16,0.9872012045925089,0.4866666666666667,0.8243668532261987,0.9128660835750388,0.8686164684006188,0.5471457231442641,0,1500,2483,0,40.41608691215515,0.5735325010825478
no_rrg,17,4000,1500,20,0.4166666666666667,0.17721518987341772,0.9826388888888888,0.4166666666666667,0.8343890858657477,0.9048096970731503,0.869599391469449,0.5584512285927029,5,1500,2372,0,42.94791579246521,0.5162090135495088
no_rrg,27,4000,1500,20,0.5633333333333334,0.25,0.9856521739130435,0.5633333333333334,0.8199967504456995,0.9171077023717785,0.8685522264087391,0.5376344086021505,0,1500,2580,0,40.34530687332153,0.5407964751637913
no_per,7,4000,1500,20,0.5,0.16,0.9872012045925089,0.5,0.8217548347219948,0.9150445486555444,0.8683996916887696,0.5471457231442641,0,1500,2483,0,42.70814371109009,0.5735325010825478
no_per,17,4000,1500,20,0.48,0.17721518987341772,0.9833089668615984,0.48,0.8400431161760928,0.9194402078712661,0.8797416620236795,0.5584512285927029,5,1500,2372,0,42.33300185203552,0.5162090135495088
no_per,27,4000,1500,20,0.5633333333333334,0.25,0.9856521739130435,0.5633333333333334,0.820181907189288,0.9169770978722979,0.868579502530793,0.5376344086021505,0,1500,2580,0,40.887898206710815,0.5407964751637913
