ablation,seed,train_episodes,eval_episodes,window_len,final_f1,rghr_f1,rghr_auc,role_f1_clustering,sof,fof,of,detection_f1,convergence_step,tp,fp,fn,elapsed_sec,rolling_f1_train_mean_last_window
full,7,6000,1500,20,0.5,0.0,0.9477400277593386,0.5,0.8465012570936645,0.9196914435547837,0.8830963503242242,0.5471457231442641,0,1500,2483,0,58.00703048706055,0.543388495449767
full,17,6000,1500,20,0.53,0.0,0.9271442495126706,0.53,0.8489158539824412,0.9171414728201196,0.8830286634012804,0.5560704355885079,5,1500,2395,0,59.413177490234375,0.5613484185781455
full,27,6000,1500,20,0.5333333333333333,0.0,0.9693591617933723,0.5333333333333333,0.8242264278422438,0.9157317135859793,0.8699790707141115,0.5368647100930566,0,1500,2588,0,58.42667078971863,0.5419644119469895
full,37,6000,1500,20,0.5533333333333333,0.07894736842105263,0.9697664594774003,0.5533333333333333,0.8591062207530074,0.9178167821742673,0.8884615014636373,0.5474452554744526,0,1500,2480,0,58.00000548362732,0.5659491393141245
full,47,6000,1500,20,0.5266666666666666,0.02702702702702703,0.9723010077846841,0.5266666666666666,0.8552842067303236,0.9186744017268739,0.8869793042285987,0.5619029780857838,4,1500,2339,0,56.360085248947144,0.5733132323181703
full,57,6000,1500,20,0.5633333333333334,0.0,0.9548005551867721,0.5633333333333334,0.8388306314746765,0.9162024760567081,0.8775165537656924,0.5874290189935383,0,1500,2107,0,57.331305503845215,0.5560977015233034
full,67,6000,1500,20,0.57,0.027777777777777776,0.9637739098345531,0.57,0.8224624601563384,0.9128100756198958,0.8676362678881171,0.572737686139748,2,1500,2238,0,57.41491889953613,0.5746968372207413
full,77,6000,1500,20,0.5033333333333333,0.0,0.9608351940136383,0.5033333333333333,0.8559820620448486,0.9192343192576087,0.8876081906512286,0.5970149253731343,0,1500,2025,0,59.601497411727905,0.5912681856612595
no_rag,7,6000,1500,20,0.5366666666666666,0.0,0.451330637861324,0.5366666666666666,0.8658539678803305,0.9167647180094993,0.8913093429449149,0.5471457231442641,0,1500,2483,0,58.49662780761719,0.543388495449767
no_rag,17,6000,1500,20,0.5,0.0,0.49049707602339176,0.5,0.8702872896212009,0.9176819357885486,0.8939846127048747,0.5560704355885079,5,1500,2395,0,59.72291421890259,0.5613484185781455
no_rag,27,6000,1500,20,0.5066666666666667,0.0,0.533077485380117,0.5066666666666667,0.8428792565047893,0.9170929024835532,0.8799860794941713,0.5368647100930566,0,1500,2588,0,58.15617275238037,0.5419644119469895
no_rag,37,6000,1500,20,0.54,0.0,0.5580230523203187,0.54,0.8809084076923257,0.915566951553782,0.8982376796230538,0.5474452554744526,0,1500,2480,0,57.414300203323364,0.5659491393141245
no_rag,47,6000,1500,20,0.5333333333333333,0.0,0.5284533220686741,0.5333333333333333,0.8764823373621081,0.918021063331825,0.8972517003469666,0.5619029780857838,4,1500,2339,0,57.90751266479492,0.5733132323181703
no_rag,57,6000,1500,20,0.54,0.0,0.5428157624766158,0.54,0.8598642342801496,0.9197036619916805,0.8897839481359151,0.5874290189935383,0,1500,2107,0,57.23863363265991,0.5560977015233034
no_rag,67,6000,1500,20,0.5933333333333334,0.0,0.6122147733562949,0.5933333333333334,0.8446405038932846,0.9141689184409953,0.8794047111671399,0.572737686139748,2,1500,2238,0,63.47601819038391,0.5746968372207413
no_rag,77,6000,1500,20,0.5,0.0,0.43425260998129256,0.5,0.8773281032562654,0.9190885162198795,0.8982083097380724,0.5970149253731343,0,1500,2025,0,65.85954260826111,0.5912681856612595
no_grg,7,6000,1500,20,0.47333333333333333,0.0,0.9477400277593386,0.47333333333333333,0.8127279188113441,0.9167476914249245,0.8647378051181343,0.5471457231442641,0,1500,2483,0,63.49098801612854,0.543388495449767
no_grg,17,6000,1500,20,0.52,0.0,0.9274488304093567,0.52,0.8545849394591971,0.9183379655450553,0.8864614525021262,0.5560704355885079,5,1500,2395,0,66.29459166526794,0.5613484185781455
no_grg,27,6000,1500,20,0.49,0.0,0.9694809941520468,0.49,0.8120804153825799,0.9155566867349392,0.8638185510587595,0.5368647100930566,0,1500,2588,0,64.91739058494568,0.5419644119469895
no_grg,37,6000,1500,20,0.58,0.07894736842105263,0.9698268058656689,0.58,0.838060147745522,0.9130951936648098,0.8755776707051659,0.5474452554744526,0,1500,2480,0,65.08381009101868,0.5659491393141245
